"YEAR","STATEFIP","METRO","NCHILD","SEX","AGE","RACE","RACED","EDUC","EDUCD","SCHLTYPE","FTOTINC"
2008,1,1,1,2,23,1,100,6,63,1,64000
2008,1,4,1,1,24,1,100,6,63,1,76000
2008,1,4,1,2,24,1,100,6,63,1,76000
2008,1,1,0,2,21,1,100,7,71,1,105600
2008,1,4,0,2,19,1,100,6,65,3,73500
2008,1,4,0,2,20,1,100,7,71,3,73500
2008,1,0,0,1,22,2,200,4,40,1,35700
2008,1,3,0,2,25,1,100,3,30,1,9999999
2008,1,4,0,1,20,1,100,6,63,1,9999999
2008,1,4,0,1,21,1,100,7,71,2,40000
2008,1,4,0,2,21,8,802,7,71,2,0
2008,1,0,0,1,25,1,100,6,63,1,42100
2008,1,0,0,2,23,1,100,6,63,1,42100
2008,1,4,1,2,24,1,100,0,2,1,16800
2008,1,0,0,1,23,8,821,6,63,1,82510
2008,1,4,0,2,22,1,100,10,101,2,72000
2008,1,1,0,2,19,2,200,7,71,2,7900
2008,1,4,0,2,24,2,200,6,65,1,21800
2008,1,2,0,1,22,1,100,8,81,1,75000
2008,1,2,0,2,21,1,100,8,81,1,75000
2008,1,3,0,1,21,1,100,3,30,1,36000
2008,1,3,3,2,25,2,200,6,63,1,32000
2008,1,1,0,2,19,1,100,7,71,2,161960
2008,1,1,1,2,24,2,200,7,71,1,1400
2008,1,3,0,2,22,8,802,10,101,2,20000
2008,2,1,0,1,22,1,100,6,64,1,9999999
2008,2,2,0,2,22,1,100,7,71,2,152600
2008,2,2,1,2,20,1,100,6,63,1,21800
2008,2,1,0,1,22,1,100,7,71,2,9999999
2008,2,1,0,2,20,3,372,6,63,1,39700
2008,4,1,0,2,19,1,100,6,63,2,6000
2008,4,4,0,2,22,1,100,7,71,2,18100
2008,4,4,0,1,23,2,200,10,101,1,77500
2008,4,4,0,2,20,1,100,6,64,1,22000
2008,4,0,3,2,22,1,100,6,63,1,41000
2008,4,0,0,2,20,1,100,5,50,2,41000
2008,4,0,0,2,24,1,100,6,61,1,41000
2008,4,4,0,1,21,1,100,6,61,1,42100
2008,4,4,2,2,22,1,100,6,63,1,2300
2008,4,4,2,1,23,1,100,6,61,1,2300
2008,4,4,0,2,25,1,100,6,63,1,37900
2008,4,4,0,2,21,1,100,8,81,1,37900
2008,4,4,0,2,19,1,100,6,63,1,37900
2008,4,4,0,1,20,1,100,7,71,2,0
2008,4,4,0,2,21,1,100,7,71,2,0
2008,4,4,0,1,25,1,100,6,63,1,79600
2008,4,4,0,1,21,1,100,6,65,1,10000
2008,4,4,0,2,23,1,100,7,71,2,108020
2008,4,4,0,1,25,1,100,10,101,1,121400
2008,4,1,0,1,22,1,100,7,71,2,24500
2008,4,1,0,2,22,1,100,10,101,1,24500
2008,4,2,0,1,24,1,100,3,30,1,18000
2008,4,2,0,1,25,1,100,3,30,1,18000
2008,4,1,1,2,19,3,361,4,40,1,1000
2008,4,1,0,1,25,6,669,6,64,2,9999999
2008,4,4,0,1,25,7,700,7,71,2,45000
2008,4,4,0,1,20,1,100,6,63,1,58000
2008,4,4,0,1,19,1,100,6,65,2,438000
2008,4,4,0,2,19,1,100,6,65,2,9999999
2008,4,4,0,1,24,1,100,6,64,1,135000
2008,4,4,0,2,25,1,100,8,81,1,52000
2008,4,4,1,2,22,1,100,7,71,2,9400
2008,4,4,0,2,23,1,100,10,101,1,66000
2008,4,4,0,2,24,1,100,7,71,2,32000
2008,4,1,2,1,21,1,100,3,30,1,29200
2008,4,0,1,2,22,1,100,6,63,1,52000
2008,4,4,0,2,22,1,100,6,65,1,54000
2008,4,4,0,2,22,1,100,6,64,1,15400
2008,4,4,1,2,25,1,100,6,63,1,32700
2008,4,4,0,2,22,1,100,10,101,2,32150
2008,4,4,0,2,19,1,100,7,71,2,32150
2008,4,4,0,2,19,1,100,6,63,2,500
2008,4,4,0,2,19,1,100,7,71,1,25000
2008,4,4,0,2,19,1,100,6,63,2,13000
2008,4,2,0,2,21,6,640,7,71,1,76000
2008,4,4,0,2,20,1,100,6,65,2,45300
2008,4,4,0,1,24,7,700,2,26,1,12500
2008,4,4,0,1,20,1,100,7,71,1,35000
2008,4,1,0,1,19,1,100,7,71,1,86310
2008,4,4,0,1,21,2,200,6,63,1,9999999
2008,5,0,2,1,23,1,100,6,65,1,44000
2008,5,1,1,2,22,1,100,7,71,2,43800
2008,5,4,0,1,22,1,100,10,101,2,13000
2008,5,4,0,1,21,1,100,6,63,1,9999999
2008,5,4,0,2,22,1,100,2,23,1,40700
2008,5,4,0,1,23,1,100,8,81,1,40700
2008,5,4,0,2,21,1,100,7,71,2,21800
2008,5,4,0,2,23,1,100,7,71,2,21800
2008,5,4,0,2,21,1,100,7,71,2,4800
2008,5,0,1,2,25,1,100,8,81,1,49950
2008,5,4,0,1,19,8,822,6,63,2,74000
2008,5,1,2,2,24,1,100,7,71,1,69300
2008,5,1,2,1,23,1,100,7,71,2,69300
2008,5,1,2,2,25,1,100,6,63,1,56000
2008,5,0,0,2,25,1,100,5,50,1,14900
2008,5,0,0,1,20,1,100,5,50,1,15000
2008,5,0,1,2,19,1,100,7,71,2,14000
2008,5,0,0,1,20,1,100,6,63,1,25000
2008,5,1,0,2,20,1,100,6,61,1,6700
2008,5,0,0,1,19,1,100,6,63,2,9999999
2008,5,4,0,1,24,1,100,8,81,1,15000
2008,5,1,2,1,25,1,100,5,50,1,60000
2008,5,1,0,1,20,1,100,7,71,2,107000
2008,6,2,0,2,19,1,100,6,63,3,0
2008,6,4,1,1,22,1,100,8,81,1,42500
2008,6,4,1,2,22,1,100,7,71,1,42500
2008,6,4,0,1,20,6,640,7,71,2,110000
2008,6,3,0,2,23,1,100,7,71,2,24800
2008,6,4,0,2,22,1,100,7,71,2,28000
2008,6,3,0,1,22,1,100,6,64,1,9999999
2008,6,4,0,2,22,1,100,7,71,2,252000
2008,6,4,1,1,25,7,700,6,63,1,88000
2008,6,4,1,2,24,7,700,6,65,1,88000
2008,6,3,1,1,24,7,700,6,63,1,96000
2008,6,3,1,2,23,1,100,6,63,1,96000
2008,6,3,0,1,24,6,640,8,81,1,34000
2008,6,3,0,1,20,1,100,7,71,1,5000
2008,6,2,0,1,21,2,200,6,63,1,9999999
2008,6,3,0,2,24,1,100,6,64,1,58000
2008,6,3,0,1,20,7,700,5,50,1,54200
2008,6,3,1,2,20,7,700,4,40,1,20000
2008,6,4,1,2,20,1,100,2,25,1,32000
2008,6,1,0,2,19,7,700,5,50,2,91700
2008,6,3,1,1,22,1,100,3,30,1,21200
2008,6,2,0,1,20,7,700,2,25,1,31200
2008,6,2,0,2,19,7,700,2,23,1,31200
2008,6,3,0,1,22,6,610,7,71,2,47000
2008,6,3,0,1,20,6,610,7,71,2,47000
2008,6,1,0,1,21,1,100,5,50,1,9999999
2008,6,3,0,1,20,7,700,7,71,3,24400
2008,6,4,0,1,20,7,700,6,64,2,50200
2008,6,1,0,1,22,1,100,7,71,2,94800
2008,6,4,0,1,22,1,100,6,63,1,62200
2008,6,4,0,1,19,1,100,6,63,1,62200
2008,6,3,0,2,21,1,100,6,63,1,35000
2008,6,4,3,2,24,2,200,6,63,1,15000
2008,6,2,1,1,24,2,200,6,63,1,96000
2008,6,4,0,2,20,1,100,7,71,2,7000
2008,6,4,0,2,20,1,100,6,65,1,7200
2008,6,2,1,2,23,1,100,7,71,1,33600
2008,6,3,0,1,22,1,100,6,64,1,86000
2008,6,3,0,2,21,7,700,7,71,2,55000
2008,6,4,0,1,21,1,100,6,65,1,20000
2008,6,4,0,2,21,1,100,7,71,2,20000
2008,6,3,0,1,23,6,600,7,71,1,106000
2008,6,4,0,2,24,1,100,7,71,2,30000
2008,6,4,0,1,21,1,100,7,71,1,30000
2008,6,2,0,1,25,1,100,6,63,1,157000
2008,6,2,0,2,21,1,100,7,71,2,157000
2008,6,2,0,2,21,1,100,2,26,1,157000
2008,6,3,0,1,25,8,802,8,81,2,56400
2008,6,3,0,1,19,5,500,7,71,2,74700
2008,6,3,2,2,25,1,100,7,71,2,78000
2008,6,4,0,2,20,1,100,7,71,3,130000
2008,6,3,0,1,25,1,100,6,65,2,83600
2008,6,4,0,1,24,6,600,6,63,1,63200
2008,6,4,1,2,21,6,600,7,71,2,63200
2008,6,1,1,2,23,1,100,7,71,2,13000
2008,6,2,3,1,25,7,700,8,81,1,29000
2008,6,2,3,2,24,7,700,6,63,1,29000
2008,6,3,0,2,19,8,845,6,63,2,22900
2008,6,3,0,1,20,1,100,7,71,2,166000
2008,6,3,0,1,25,4,400,10,101,2,198000
2008,6,3,0,1,23,1,100,6,63,1,92000
2008,6,3,0,2,22,8,802,7,71,1,10500
2008,6,3,1,1,24,1,100,6,63,1,11100
2008,6,3,1,2,24,1,100,6,63,1,11100
2008,6,3,0,2,23,1,100,8,81,2,50780
2008,6,2,0,2,23,6,663,10,101,1,5300
2008,6,2,0,2,19,6,663,6,65,2,5300
2008,6,3,0,2,22,7,700,6,63,1,36000
2008,6,4,0,2,21,7,700,7,71,1,80000
2008,6,4,0,1,20,7,700,6,65,2,80000
2008,6,4,0,2,20,1,100,6,64,2,5400
2008,6,4,0,1,24,1,100,6,65,1,5400
2008,6,2,1,1,22,1,100,6,63,1,36600
2008,6,2,1,2,22,1,100,6,65,2,36600
2008,6,1,0,1,22,2,200,6,65,1,9999999
2008,6,2,0,2,19,1,100,6,65,2,91250
2008,6,4,0,1,23,1,100,6,65,1,112020
2008,6,4,0,2,24,1,100,7,71,2,112020
2008,6,4,0,1,22,1,100,7,71,2,104700
2008,6,1,2,1,25,1,100,6,63,1,122800
2008,6,3,0,2,25,1,100,6,63,1,13200
2008,6,4,0,2,23,1,100,10,101,1,89200
2008,6,4,0,2,19,1,100,7,71,3,9999999
2008,6,2,0,1,25,7,700,3,30,1,36000
2008,6,2,0,2,20,7,700,3,30,1,36000
2008,6,4,0,1,20,1,100,7,71,3,133000
2008,6,3,0,2,25,4,400,10,101,1,57000
2008,6,2,0,2,25,1,100,8,81,1,58000
2008,6,3,0,2,24,1,100,7,71,2,50200
2008,6,2,0,1,22,2,200,6,63,1,7800
2008,6,2,0,2,22,1,100,10,101,3,10200
2008,6,2,0,2,20,6,600,10,101,2,50
